#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	MAPT	9606.ENSP00000361423	9606.ENSP00000340820	0	0	0	0	0.053	0.541	0	0.246	0.644
ABL1	MEF2C	9606.ENSP00000361423	9606.ENSP00000340874	0	0	0	0	0	0.076	0.650	0.182	0.712
ABL1	PTPN11	9606.ENSP00000361423	9606.ENSP00000340944	0	0	0	0.550	0.078	0.182	0	0.843	0.509
ABL1	NEO1	9606.ENSP00000361423	9606.ENSP00000341198	0	0	0	0	0.053	0.536	0	0.302	0.666
ABL1	SMAD4	9606.ENSP00000361423	9606.ENSP00000341551	0	0	0	0	0	0.107	0	0.457	0.495
ABL1	CTNNB1	9606.ENSP00000361423	9606.ENSP00000344456	0	0	0	0	0.065	0.540	0.900	0.838	0.992
ABL1	GATA2	9606.ENSP00000361423	9606.ENSP00000345681	0	0	0	0	0.062	0.139	0	0.395	0.468
ABL1	CRKL	9606.ENSP00000361423	9606.ENSP00000346300	0	0	0	0.597	0.062	0.900	0.800	0.984	0.987
ABL1	MEF2A	9606.ENSP00000361423	9606.ENSP00000346389	0	0	0	0	0	0.076	0.650	0.445	0.804
ABL1	FYN	9606.ENSP00000361423	9606.ENSP00000346671	0	0	0	0.880	0	0.115	0.900	0.693	0.915
ABL1	ERCC6	9606.ENSP00000361423	9606.ENSP00000348089	0	0	0	0	0	0.282	0	0.199	0.401
ABL1	RAC1	9606.ENSP00000361423	9606.ENSP00000348461	0	0	0	0	0	0.140	0.900	0.312	0.935
ABL1	ACTB	9606.ENSP00000361423	9606.ENSP00000349960	0	0	0	0	0.053	0.078	0	0.628	0.647
ABL1	EPHA2	9606.ENSP00000361423	9606.ENSP00000351209	0	0	0	0.621	0.070	0	0.800	0.407	0.834
ABL1	PTPRF	9606.ENSP00000361423	9606.ENSP00000353030	0	0	0	0	0.086	0.369	0	0.180	0.486
ABL1	NCKAP1	9606.ENSP00000361423	9606.ENSP00000354251	0	0	0	0	0.056	0.365	0.900	0.241	0.948
ABL1	GAB2	9606.ENSP00000361423	9606.ENSP00000354952	0	0	0	0	0	0	0	0.460	0.460
ABL1	ENAH	9606.ENSP00000361423	9606.ENSP00000355809	0	0	0	0	0.062	0.826	0.800	0.625	0.986
ABL1	AHI1	9606.ENSP00000361423	9606.ENSP00000356774	0	0	0	0	0	0.063	0	0.576	0.586
ABL1	EPHA7	9606.ENSP00000361423	9606.ENSP00000358309	0	0	0	0.608	0.062	0.057	0.800	0.181	0.818
ABL1	JUN	9606.ENSP00000361423	9606.ENSP00000360266	0	0	0	0	0.062	0.683	0	0.556	0.856
ABL1	DAB1	9606.ENSP00000361423	9606.ENSP00000360280	0	0	0	0	0.059	0.237	0	0.248	0.412
ABL1	HSP90AB1	9606.ENSP00000361423	9606.ENSP00000360609	0	0	0	0	0	0.237	0	0.693	0.756
ABL1	PTEN	9606.ENSP00000361423	9606.ENSP00000361021	0	0	0	0	0.062	0.111	0	0.606	0.643
ABL1	CREB1	9606.ENSP00000361423	9606.ENSP00000387699	0	0	0	0	0	0.270	0	0.216	0.403
ABL1	IL6	9606.ENSP00000361423	9606.ENSP00000385675	0	0	0	0	0	0	0	0.402	0.403
ABL1	ARHGAP35	9606.ENSP00000361423	9606.ENSP00000385720	0	0	0	0	0.094	0.078	0	0.364	0.423
ABL1	PTPRA	9606.ENSP00000361423	9606.ENSP00000369756	0	0	0	0	0.062	0.345	0	0.195	0.462
ABL1	JAK2	9606.ENSP00000361423	9606.ENSP00000371067	0	0	0	0.577	0	0.213	0	0.774	0.467
ABL1	ROBO3	9606.ENSP00000361423	9606.ENSP00000380903	0	0	0	0	0.064	0.346	0	0.202	0.468
ABL1	VEGFA	9606.ENSP00000361423	9606.ENSP00000478570	0	0	0	0	0.065	0	0	0.457	0.470
ABL1	CTTN	9606.ENSP00000361423	9606.ENSP00000365745	0	0	0	0	0	0.066	0	0.482	0.495
ABL1	RHOA	9606.ENSP00000361423	9606.ENSP00000400175	0	0	0	0	0	0.140	0	0.445	0.502
ABL1	EVL	9606.ENSP00000361423	9606.ENSP00000376652	0	0	0	0	0.054	0.519	0	0.101	0.555
ABL1	AGRN	9606.ENSP00000361423	9606.ENSP00000368678	0	0	0	0	0.077	0.140	0	0.486	0.556
ABL1	NUMB	9606.ENSP00000361423	9606.ENSP00000451300	0	0	0	0	0.064	0.160	0	0.524	0.593
ABL1	BOC	9606.ENSP00000361423	9606.ENSP00000418663	0	0	0	0	0	0	0.600	0	0.600
ABL1	CDH4	9606.ENSP00000361423	9606.ENSP00000484928	0	0	0	0	0	0.057	0.600	0	0.606
ABL1	CTNNA2	9606.ENSP00000361423	9606.ENSP00000384638	0	0	0	0	0	0	0.600	0.128	0.636
ABL1	GRB10	9606.ENSP00000361423	9606.ENSP00000381793	0	0	0	0	0.063	0.321	0	0.506	0.659
ABL1	DCC	9606.ENSP00000361423	9606.ENSP00000389140	0	0	0	0	0.053	0.536	0	0.318	0.674
ABL1	PBX1	9606.ENSP00000361423	9606.ENSP00000405890	0	0	0	0	0.062	0	0	0.687	0.693
ABL1	PAK4	9606.ENSP00000361423	9606.ENSP00000469413	0	0	0	0.566	0.062	0.720	0	0.137	0.738
ABL1	YWHAZ	9606.ENSP00000361423	9606.ENSP00000379287	0	0	0	0	0	0.690	0	0.216	0.747
ABL1	SLIT2	9606.ENSP00000361423	9606.ENSP00000422591	0	0	0	0	0	0.342	0.600	0.199	0.770
ABL1	EPHA6	9606.ENSP00000361423	9606.ENSP00000374323	0	0	0	0.585	0	0	0.800	0.059	0.801
ABL1	EPHB1	9606.ENSP00000361423	9606.ENSP00000381097	0	0	0	0.628	0	0.057	0.800	0.188	0.814
ABL1	EPHA5	9606.ENSP00000361423	9606.ENSP00000480763	0	0	0	0.611	0	0.057	0.800	0.187	0.815
ABL1	APBB1	9606.ENSP00000361423	9606.ENSP00000477213	0	0	0	0	0	0.213	0	0.785	0.823
ABL1	SHC3	9606.ENSP00000361423	9606.ENSP00000364995	0	0	0	0	0.065	0.067	0.800	0.153	0.832
ABL1	CDC42	9606.ENSP00000361423	9606.ENSP00000383118	0	0	0	0	0	0.140	0.600	0.561	0.835
ABL1	EPHB2	9606.ENSP00000361423	9606.ENSP00000363763	0	0	0	0.623	0.062	0.282	0.800	0.247	0.865
ABL1	ROBO2	9606.ENSP00000361423	9606.ENSP00000417335	0	0	0	0	0.064	0.346	0.800	0.229	0.893
ABL1	RELN	9606.ENSP00000361423	9606.ENSP00000392423	0	0	0	0	0	0	0.900	0.095	0.905
ABL1	LYN	9606.ENSP00000361423	9606.ENSP00000428924	0	0	0	0.881	0	0	0.900	0.722	0.908
ABL1	PIK3R1	9606.ENSP00000361423	9606.ENSP00000428056	0	0	0	0.544	0	0.883	0	0.715	0.921
ABL1	CDK5	9606.ENSP00000361423	9606.ENSP00000419782	0	0	0	0.660	0	0.225	0.900	0.727	0.938
ABL1	CYFIP1	9606.ENSP00000361423	9606.ENSP00000481038	0	0	0	0	0.089	0.166	0.900	0.302	0.939
ABL1	CYFIP2	9606.ENSP00000361423	9606.ENSP00000444645	0	0	0	0	0.062	0.166	0.900	0.388	0.945
ABL1	SOS1	9606.ENSP00000361423	9606.ENSP00000387784	0	0	0	0	0.066	0.314	0.900	0.361	0.953
ABL1	ROBO1	9606.ENSP00000361423	9606.ENSP00000420321	0	0	0	0	0.064	0.463	0.900	0.247	0.957
ABL1	SHC1	9606.ENSP00000361423	9606.ENSP00000401303	0	0	0	0.549	0.091	0.691	0.800	0.934	0.964
ABL1	NTRK1	9606.ENSP00000361423	9606.ENSP00000431418	0	0	0	0.645	0	0.486	0.900	0.933	0.964
ABL1	SRC	9606.ENSP00000361423	9606.ENSP00000362680	0	0	0	0.882	0.067	0.675	0.900	0.861	0.970
ABL1	WASF1	9606.ENSP00000361423	9606.ENSP00000376368	0	0	0	0	0	0.499	0.900	0.742	0.986
ABL1	GRB2	9606.ENSP00000361423	9606.ENSP00000376345	0	0	0	0.756	0	0.885	0.900	0.989	0.990
ABL1	ABI1	9606.ENSP00000361423	9606.ENSP00000365312	0	0	0	0	0.062	0.947	0.900	0.989	0.999
ACSL4	PPT1	9606.ENSP00000339787	9606.ENSP00000394863	0	0	0	0	0	0.056	0.600	0.055	0.612
ACTB	CX3CL1	9606.ENSP00000349960	9606.ENSP00000006053	0	0	0	0	0	0	0	0.405	0.405
ACTB	RTN4R	9606.ENSP00000349960	9606.ENSP00000043402	0	0	0	0	0	0.122	0	0.466	0.511
ACTB	ACTL6B	9606.ENSP00000349960	9606.ENSP00000160382	0	0	0	0.877	0	0.369	0.800	0.306	0.872
ACTB	NGFR	9606.ENSP00000349960	9606.ENSP00000172229	0	0	0	0	0	0	0	0.488	0.488
ACTB	NTN1	9606.ENSP00000349960	9606.ENSP00000173229	0	0	0	0	0	0	0	0.455	0.455
ACTB	VCL	9606.ENSP00000349960	9606.ENSP00000211998	0	0	0	0	0.063	0.077	0.800	0.873	0.975
ACTB	MAPK1	9606.ENSP00000349960	9606.ENSP00000215832	0	0	0	0	0.049	0.064	0	0.607	0.620
ACTB	XBP1	9606.ENSP00000349960	9606.ENSP00000216037	0	0	0	0	0	0	0	0.671	0.671
ACTB	AURKA	9606.ENSP00000349960	9606.ENSP00000216911	0	0	0	0	0.062	0.061	0	0.467	0.489
ACTB	WASL	9606.ENSP00000349960	9606.ENSP00000223023	0	0	0	0	0	0.369	0.800	0.635	0.950
ACTB	ISL1	9606.ENSP00000349960	9606.ENSP00000230658	0	0	0	0	0.049	0.070	0	0.436	0.458
ACTB	ID2	9606.ENSP00000349960	9606.ENSP00000234091	0	0	0	0	0	0	0	0.400	0.400
ACTB	APOA1	9606.ENSP00000349960	9606.ENSP00000236850	0	0	0	0	0	0	0	0.485	0.485
ACTB	EGR2	9606.ENSP00000349960	9606.ENSP00000242480	0	0	0	0	0.062	0.075	0	0.433	0.465
ACTB	PLCG1	9606.ENSP00000349960	9606.ENSP00000244007	0	0	0	0	0	0	0	0.471	0.471
ACTB	VASP	9606.ENSP00000349960	9606.ENSP00000245932	0	0	0	0	0.093	0	0.800	0.463	0.894
ACTB	RAC2	9606.ENSP00000349960	9606.ENSP00000249071	0	0	0	0	0.184	0.371	0	0.596	0.775
ACTB	LIF	9606.ENSP00000349960	9606.ENSP00000249075	0	0	0	0	0	0	0	0.525	0.525
ACTB	APOE	9606.ENSP00000349960	9606.ENSP00000252486	0	0	0	0	0.049	0.116	0	0.621	0.654
ACTB	NOTCH2	9606.ENSP00000349960	9606.ENSP00000256646	0	0	0	0	0	0.077	0	0.485	0.504
ACTB	SEMA6A	9606.ENSP00000349960	9606.ENSP00000257414	0	0	0	0	0	0	0	0.448	0.448
ACTB	CDH1	9606.ENSP00000349960	9606.ENSP00000261769	0	0	0	0	0	0	0	0.846	0.846
ACTB	RAB11A	9606.ENSP00000349960	9606.ENSP00000261890	0	0	0	0	0.073	0.198	0	0.479	0.580
ACTB	RPE65	9606.ENSP00000349960	9606.ENSP00000262340	0	0	0	0	0	0	0	0.442	0.442
ACTB	MAPK3	9606.ENSP00000349960	9606.ENSP00000263025	0	0	0	0	0	0.064	0	0.887	0.890
ACTB	SCARF1	9606.ENSP00000349960	9606.ENSP00000263071	0	0	0	0	0.049	0	0	0.436	0.441
ACTB	NOTCH3	9606.ENSP00000349960	9606.ENSP00000263388	0	0	0	0	0	0.077	0	0.473	0.492
ACTB	EIF2AK4	9606.ENSP00000349960	9606.ENSP00000263791	0	0	0	0	0	0	0	0.407	0.407
ACTB	PIK3CA	9606.ENSP00000349960	9606.ENSP00000263967	0	0	0	0	0	0.153	0	0.552	0.604
ACTB	WNT5A	9606.ENSP00000349960	9606.ENSP00000264634	0	0	0	0	0	0	0	0.521	0.521
ACTB	SLC1A3	9606.ENSP00000349960	9606.ENSP00000265113	0	0	0	0	0	0	0	0.444	0.444
ACTB	SRF	9606.ENSP00000349960	9606.ENSP00000265354	0	0	0	0	0.055	0.118	0	0.491	0.538
ACTB	SEMA3A	9606.ENSP00000349960	9606.ENSP00000265362	0	0	0	0	0	0	0	0.449	0.449
ACTB	NRP1	9606.ENSP00000349960	9606.ENSP00000265371	0	0	0	0	0	0	0	0.402	0.402
ACTB	ASCL1	9606.ENSP00000349960	9606.ENSP00000266744	0	0	0	0	0.062	0.120	0	0.370	0.434
ACTB	RB1	9606.ENSP00000349960	9606.ENSP00000267163	0	0	0	0	0.062	0	0	0.538	0.548
ACTB	IQGAP1	9606.ENSP00000349960	9606.ENSP00000268182	0	0	0	0	0.062	0.605	0.800	0.560	0.963
ACTB	ERBB2	9606.ENSP00000349960	9606.ENSP00000269571	0	0	0	0	0	0.270	0	0.855	0.890
ACTB	SOD1	9606.ENSP00000349960	9606.ENSP00000270142	0	0	0	0	0	0.129	0	0.631	0.665
ACTB	TMEFF2	9606.ENSP00000349960	9606.ENSP00000272771	0	0	0	0	0	0	0	0.437	0.438
ACTB	EGFR	9606.ENSP00000349960	9606.ENSP00000275493	0	0	0	0	0	0.415	0	0.766	0.857
ACTB	NTRK2	9606.ENSP00000349960	9606.ENSP00000277120	0	0	0	0	0.053	0.078	0	0.579	0.600
ACTB	NOTCH1	9606.ENSP00000349960	9606.ENSP00000277541	0	0	0	0	0	0.077	0	0.703	0.714
ACTB	PAK1	9606.ENSP00000349960	9606.ENSP00000278568	0	0	0	0	0	0.112	0	0.355	0.403
ACTB	GJA1	9606.ENSP00000349960	9606.ENSP00000282561	0	0	0	0	0	0	0	0.963	0.963
ACTB	ITGA1	9606.ENSP00000349960	9606.ENSP00000282588	0	0	0	0	0	0	0.600	0.324	0.718
ACTB	THY1	9606.ENSP00000349960	9606.ENSP00000284240	0	0	0	0	0	0	0	0.647	0.647
ACTB	UCHL1	9606.ENSP00000349960	9606.ENSP00000284440	0	0	0	0	0.049	0	0	0.476	0.480
ACTB	WNT3A	9606.ENSP00000349960	9606.ENSP00000284523	0	0	0	0	0	0	0	0.588	0.588
ACTB	APP	9606.ENSP00000349960	9606.ENSP00000284981	0	0	0	0	0.063	0.299	0	0.688	0.777
ACTB	CSF1R	9606.ENSP00000349960	9606.ENSP00000286301	0	0	0	0	0	0	0	0.473	0.473
ACTB	PIK3CB	9606.ENSP00000349960	9606.ENSP00000289153	0	0	0	0	0	0.153	0	0.411	0.480
ACTB	S100B	9606.ENSP00000349960	9606.ENSP00000291700	0	0	0	0	0	0	0	0.518	0.518
ACTB	DBN1	9606.ENSP00000349960	9606.ENSP00000292385	0	0	0	0	0	0.318	0	0.383	0.561
ACTB	NCKAP1L	9606.ENSP00000349960	9606.ENSP00000293373	0	0	0	0	0.062	0.073	0.600	0.118	0.652
ACTB	NEUROD1	9606.ENSP00000349960	9606.ENSP00000295108	0	0	0	0	0	0	0	0.444	0.444
ACTB	IHH	9606.ENSP00000349960	9606.ENSP00000295731	0	0	0	0	0	0	0	0.409	0.409
ACTB	SYN1	9606.ENSP00000349960	9606.ENSP00000295987	0	0	0	0	0	0.102	0	0.553	0.582
ACTB	MAP1B	9606.ENSP00000349960	9606.ENSP00000296755	0	0	0	0	0	0.213	0	0.352	0.468
ACTB	SHH	9606.ENSP00000349960	9606.ENSP00000297261	0	0	0	0	0	0	0	0.585	0.585
ACTB	HPRT1	9606.ENSP00000349960	9606.ENSP00000298556	0	0	0	0	0.053	0	0	0.806	0.808
ACTB	LRRK2	9606.ENSP00000349960	9606.ENSP00000298910	0	0	0	0	0.062	0.457	0	0.640	0.801
ACTB	MAP1A	9606.ENSP00000349960	9606.ENSP00000300231	0	0	0	0	0	0.270	0	0.412	0.552
ACTB	RAC3	9606.ENSP00000349960	9606.ENSP00000304283	0	0	0	0	0.048	0.142	0	0.337	0.411
ACTB	CTNNA1	9606.ENSP00000349960	9606.ENSP00000304669	0	0	0	0	0.055	0.078	0.800	0.337	0.869
ACTB	UBB	9606.ENSP00000349960	9606.ENSP00000304697	0	0.002	0	0	0.160	0.144	0	0.366	0.504
ACTB	KIF5B	9606.ENSP00000349960	9606.ENSP00000307078	0	0	0	0	0.049	0.088	0	0.419	0.452
ACTB	MAPK7	9606.ENSP00000349960	9606.ENSP00000311005	0	0	0	0	0	0.287	0	0.452	0.593
ACTB	CASP3	9606.ENSP00000349960	9606.ENSP00000311032	0	0	0	0	0.052	0.156	0.800	0.910	0.983
ACTB	NEFH	9606.ENSP00000349960	9606.ENSP00000311997	0	0	0	0	0.049	0	0	0.445	0.450
ACTB	LEP	9606.ENSP00000349960	9606.ENSP00000312652	0	0	0	0	0	0	0	0.684	0.684
ACTB	BAIAP2	9606.ENSP00000349960	9606.ENSP00000316338	0	0	0	0	0	0.270	0.800	0.160	0.866
ACTB	CPNE1	9606.ENSP00000349960	9606.ENSP00000317257	0	0	0	0	0.080	0.258	0	0.445	0.589
ACTB	HCLS1	9606.ENSP00000349960	9606.ENSP00000320176	0	0	0	0	0.089	0.057	0.800	0.170	0.838
ACTB	TUBB3	9606.ENSP00000349960	9606.ENSP00000320295	0	0	0	0	0.085	0.158	0	0.539	0.614
ACTB	CRMP1	9606.ENSP00000349960	9606.ENSP00000321606	0	0	0	0	0	0	0	0.466	0.467
ACTB	ULK1	9606.ENSP00000349960	9606.ENSP00000324560	0	0	0	0	0	0.058	0	0.397	0.408
ACTB	GSK3B	9606.ENSP00000349960	9606.ENSP00000324806	0	0	0	0	0.064	0.078	0.900	0.634	0.964
ACTB	STK11	9606.ENSP00000349960	9606.ENSP00000324856	0	0	0	0	0	0.078	0	0.513	0.532
ACTB	PSEN1	9606.ENSP00000349960	9606.ENSP00000326366	0	0	0	0	0	0	0	0.585	0.585
ACTB	NOG	9606.ENSP00000349960	9606.ENSP00000328181	0	0	0	0	0.049	0	0	0.468	0.473
ACTB	PTCH1	9606.ENSP00000349960	9606.ENSP00000332353	0	0	0	0	0	0	0	0.521	0.521
ACTB	BSG	9606.ENSP00000349960	9606.ENSP00000333769	0	0	0	0	0.073	0	0	0.418	0.438
ACTB	NEXN	9606.ENSP00000349960	9606.ENSP00000333938	0	0	0	0	0.062	0.156	0	0.303	0.400
